register;points;region_1;title;price;province;region_2;variety;winery
26972;87;Dolcetto di Dogliani      ;Pecchenino 2008 San Luigi  (Dolcetto di Dogliani)                                                 ;18;Piedmont         ;                 ;Dolcetto                  ;Pecchenino                     
26978;87;Barbera d'Asti Superiore  ;Michele Chiarlo 2008 Cipressi della Court  (Barbera d'Asti Superiore)                             ;               ;Piedmont         ;                 ;Barbera                   ;Michele Chiarlo                
26986;87;Barbera d'Alba            ;Tenuta Carretta 2007 Bric Quercia  (Barbera d'Alba)                                               ;22;Piedmont         ;                 ;Barbera                   ;Tenuta Carretta                
26992;87;Marche                    ;Tenuta Cocci Grifoni 2012 Tellus Verdicchio (Marche)                                              ;12;Central Italy    ;                 ;Verdicchio                ;Tenuta Cocci Grifoni           
27024;88;Sicilia                   ;Tasca d'Almerita 2016 Cavallo delle Fate Grillo (Sicilia)                                         ;20;Sicily & Sardinia;                 ;Grillo                    ;Tasca d'Almerita               
27026;88;Sicilia                   ;Tenuta Rapitalà 2016 Grillo (Sicilia)                                                             ;14;Sicily & Sardinia;                 ;Grillo                    ;Tenuta Rapitalà                
27034;88;Friuli                    ;Castelvecchio 2015 Malvasia (Friuli)                                                              ;20;Northeastern Ital;                 ;Malvasia                  ;Castelvecchio                  
27040;88;Soave Superiore           ;Corte Giacobbe 2015  Soave Superiore                                                              ;16;Veneto           ;                 ;Garganega                 ;Corte Giacobbe                 
27042;88;Fiano di Avellino         ;Di Meo 2016  Fiano di Avellino                                                                    ;25;Southern Italy   ;                 ;Fiano                     ;Di Meo                         
27044;88;Sannio                    ;Feudi di San Gregorio 2016 Falanghina (Sannio)                                                    ;17;Southern Italy   ;                 ;Falanghina                ;Feudi di San Gregorio          
27058;94;Brunello di Montalcino    ;Podere Brizio 2010 Riserva  (Brunello di Montalcino)                                              ;94;Tuscany          ;                 ;Sangiovese                ;Podere Brizio                  
27134;87;Roero                     ;Fabrizio Battaglino 2012 Sergentin  (Roero)                                                       ;25;Piedmont         ;                 ;Nebbiolo                  ;Fabrizio Battaglino            
27136;87;Barbera d'Asti Superiore  ;Vite Colte 2013 La Luna e i Falò  (Barbera d'Asti Superiore)                                      ;30;Piedmont         ;                 ;Barbera                   ;Vite Colte                     
27148;86;Roero                     ;Massucco 2012  Roero                                                                              ;15;Piedmont         ;                 ;Nebbiolo                  ;Massucco                       
27154;89;Amarone della Valpolicella;I Campi 2009  Amarone della Valpolicella                                                          ;               ;Veneto           ;                 ;Red Blend                 ;I Campi                        
27162;89;Amarone della Valpolicella;Buglioni 2008  Amarone della Valpolicella Classico                                                ;               ;Veneto           ;                 ;Red Blend                 ;Buglioni                       
27168;89;Lugana                    ;Zenato 2012 San Benedetto  (Lugana)                                                               ;15;Lombardy         ;                 ;Turbiana                  ;Zenato                         
27170;89;Valpolicella Classico Supe;Cottini 2011  Valpolicella Classico Superiore Ripasso                                             ;16;Veneto           ;                 ;Red Blend                 ;Cottini                        
27174;89;Valpolicella Classico Supe;Giuseppe Campagnola 2011  Valpolicella Classico Superiore Ripasso                                 ;33;Veneto           ;                 ;Red Blend                 ;Giuseppe Campagnola            
27232;90;Lambrusco di Sorbara      ;Paltrinieri 2015 La Riserva Brut  (Lambrusco di Sorbara)                                          ;               ;Central Italy    ;                 ;Lambrusco di Sorbara      ;Paltrinieri                    
27236;90;Romagna                   ;Tre Monti 2012 Thea Passito Albana (Romagna)                                                      ;               ;Central Italy    ;                 ;Albana                    ;Tre Monti                      
27312;89;Alto Adige                ;Elena Walch 2012 Kastelaz Gewürztraminer (Alto Adige)                                             ;32;Northeastern Ital;                 ;Gewürztraminer            ;Elena Walch                    
27318;89;Alto Adige Terlano        ;Manincor 2012 Eichhorn Pinot Bianco (Alto Adige Terlano)                                          ;               ;Northeastern Ital;                 ;Pinot Bianco              ;Manincor                       
27324;89;Bolgheri                  ;Guado al Tasso 2012 Il Bruciato  (Bolgheri)                                                       ;32;Tuscany          ;                 ;Red Blend                 ;Guado al Tasso                 
27414;91;Barbaresco                ;Castello di Neive 2010 Gallina  (Barbaresco)                                                      ;               ;Piedmont         ;                 ;Nebbiolo                  ;Castello di Neive              
27422;91;Barbaresco                ;Rivetto 2010 Cé Vanin  (Barbaresco)                                                               ;40;Piedmont         ;                 ;Nebbiolo                  ;Rivetto                        
27432;91;Barolo                    ;Paolo Manzone 2009 Serralunga  (Barolo)                                                           ;60;Piedmont         ;                 ;Nebbiolo                  ;Paolo Manzone                  
27436;91;Barolo                    ;Curto Marco 2009 La Foia Arborina  (Barolo)                                                       ;70;Piedmont         ;                 ;Nebbiolo                  ;Curto Marco                    
27438;90;Barolo                    ;Cantina Terre del Barolo 2007  Barolo                                                             ;               ;Piedmont         ;                 ;Nebbiolo                  ;Cantina Terre del Barolo       
27442;90;Barolo                    ;Giacomo Ascheri 2007 Sorano  (Barolo)                                                             ;               ;Piedmont         ;                 ;Nebbiolo                  ;Giacomo Ascheri                
27450;90;Barolo                    ;Mauro Sebaste 2007 Prapò  (Barolo)                                                                ;               ;Piedmont         ;                 ;Nebbiolo                  ;Mauro Sebaste                  
27456;90;Barolo                    ;Principiano Ferdinando 2006 Serralunga  (Barolo)                                                  ;35;Piedmont         ;                 ;Nebbiolo                  ;Principiano Ferdinando         
27476;86;Roero                     ;Marchesi di Barolo 2015  Roero                                                                    ;29;Piedmont         ;                 ;Arneis                    ;Marchesi di Barolo             
27494;89;Aglianico del Vulture     ;Basilisco 2013 Cruà  (Aglianico del Vulture)                                                      ;               ;Southern Italy   ;                 ;Aglianico                 ;Basilisco                      
27526;88;Toscana                   ;Tolaini 2004 Al Passo Sangiovese (Toscana)                                                        ;20;Tuscany          ;                 ;Sangiovese                ;Tolaini                        
27538;88;Sant'Antimo               ;Castello Banfi 2003 Tavernelle Cabernet Sauvignon (Sant'Antimo)                                   ;41;Tuscany          ;                 ;Cabernet Sauvignon        ;Castello Banfi                 
27546;87;Toscana                   ;San Luciano 2004 Boschi Salviati Red (Toscana)                                                    ;19;Tuscany          ;                 ;Red Blend                 ;San Luciano                    
27570;94;Toscana                   ;Marchesi Antinori 2013 Solaia Red (Toscana)                                                       ;325;Tuscany          ;                 ;Red Blend                 ;Marchesi Antinori              
27600;96;Brunello di Montalcino    ;Il Colle 2011  Brunello di Montalcino                                                             ;45;Tuscany          ;                 ;Sangiovese                ;Il Colle                       
27604;95;Brunello di Montalcino    ;Le Ragnaie 2012 VV  (Brunello di Montalcino)                                                      ;125;Tuscany          ;                 ;Sangiovese                ;Le Ragnaie                     
27608;95;Alto Adige                ;Abbazia di Novacella 2015 Praepositus Kerner (Alto Adige)                                         ;25;Northeastern Ital;                 ;Kerner                    ;Abbazia di Novacella           
27640;90;Maremma                   ;Col di Bacche 2005 Cupinero  (Maremma)                                                            ;40;Tuscany          ;                 ;Merlot                    ;Col di Bacche                  
27642;90;Toscana                   ;Pratesi 2005 Locorosso Sangiovese (Toscana)                                                       ;35;Tuscany          ;                 ;Sangiovese                ;Pratesi                        
27644;90;Toscana                   ;Tolaini 2004 Tenuta S. Giovanni Valdisanti Red (Toscana)                                          ;40;Tuscany          ;                 ;Red Blend                 ;Tolaini                        
27648;90;Toscana                   ;Marchesi de' Frescobaldi 2003 Castello di Nipozzano Mormoreto Red (Toscana)                       ;50;Tuscany          ;                 ;Red Blend                 ;Marchesi de' Frescobaldi       
27650;90;Toscana                   ;Villa Vignamaggio 2004 Cabernet Franc (Toscana)                                                   ;75;Tuscany          ;                 ;Cabernet Franc            ;Villa Vignamaggio              
27660;90;Bolgheri                  ;Podere Sapaio 2005 Volpolo  (Bolgheri)                                                            ;45;Tuscany          ;                 ;Red Blend                 ;Podere Sapaio                  
27662;90;Toscana                   ;Tenuta San Vito 2005 Madiere Red (Toscana)                                                        ;20;Tuscany          ;                 ;Red Blend                 ;Tenuta San Vito                
27664;90;Toscana                   ;Villa Calcinaia 2004 Casarsa Merlot (Toscana)                                                     ;43;Tuscany          ;                 ;Merlot                    ;Villa Calcinaia                
27668;90;Toscana                   ;Guicciardini Strozzi 2001 Millanni 994 Red (Toscana)                                              ;60;Tuscany          ;                 ;Red Blend                 ;Guicciardini Strozzi           
27672;86;Sicilia                   ;Feudi del Pisciotto 2010 Femme Fatale Blumarine Moscato (Sicilia)                                 ;               ;Sicily & Sardinia;                 ;Moscato                   ;Feudi del Pisciotto            
27686;85;Rosso di Montalcino       ;Podere La Vigna 2009  Rosso di Montalcino                                                         ;30;Tuscany          ;                 ;Sangiovese Grosso         ;Podere La Vigna                
27688;85;Moscato d'Asti            ;Santero 2011 Santo  (Moscato d'Asti)                                                              ;10;Piedmont         ;                 ;Moscato                   ;Santero                        
27692;88;Brunello di Montalcino    ;Tassi 2006  Brunello di Montalcino                                                                ;45;Tuscany          ;                 ;Sangiovese Grosso         ;Tassi                          
27696;88;Chianti Rufina            ;Fattoria di Grignano 2007 Riserva  (Chianti Rufina)                                               ;34;Tuscany          ;                 ;Sangiovese                ;Fattoria di Grignano           
27698;88;Chianti Classico          ;Agricola Querciabella 2007 Querciabella  (Chianti Classico)                                       ;30;Tuscany          ;                 ;Sangiovese                ;Agricola Querciabella          
27706;88;Chianti Rufina            ;Castello del Trebbio 2006 Lastricato Riserva  (Chianti Rufina)                                    ;30;Tuscany          ;                 ;Sangiovese                ;Castello del Trebbio           
27708;88;Montecucco                ;Poggio Mandorlo 2008 La Querce  (Montecucco)                                                      ;               ;Tuscany          ;                 ;Sangiovese                ;Poggio Mandorlo                
27718;87;Salento                   ;Schola Sarmenti di Terrulenta 2008 Corimei Primitivo (Salento)                                    ;               ;Southern Italy   ;                 ;Primitivo                 ;Schola Sarmenti di Terrulenta  
27734;87;Moscato d'Asti            ;Bosio 2010  Moscato d'Asti                                                                        ;18;Piedmont         ;                 ;Moscato                   ;Bosio                          
27750;85;Prosecco                  ;Canti NV Heritage Extra Dry  (Prosecco)                                                           ;13;Veneto           ;                 ;Glera                     ;Canti                          
27752;85;Oltrepò Pavese            ;Castello di Luzzano 2011 Magót Pinot Nero (Oltrepò Pavese)                                        ;               ;Lombardy         ;                 ;Pinot Nero                ;Castello di Luzzano            
27772;90;Toscana                   ;Fattoria di Grignano 2005 Salicaria Red (Toscana)                                                 ;80;Tuscany          ;                 ;Red Blend                 ;Fattoria di Grignano           
27782;90;Bolgheri                  ;Podere Guado al Melo 2008 Guado al Melo Rosso  (Bolgheri)                                         ;26;Tuscany          ;                 ;Red Blend                 ;Podere Guado al Melo           
27816;94;Montefalco Sagrantino     ;Arnaldo Caprai 2012 25 Anni  (Montefalco Sagrantino)                                              ;100;Central Italy    ;                 ;Sagrantino                ;Arnaldo Caprai                 
27820;86;Toscana                   ;Maestro Sanguineti 2014 Nesun Dorma Red (Toscana)                                                 ;16;Tuscany          ;                 ;Red Blend                 ;Maestro Sanguineti             
27828;86;Brunello di Montalcino    ;Vasco Sassetti 2010 Riserva  (Brunello di Montalcino)                                             ;               ;Tuscany          ;                 ;Sangiovese                ;Vasco Sassetti                 
27888;89;Chianti Classico          ;Castello d'Albola 2007 Riserva  (Chianti Classico)                                                ;28;Tuscany          ;                 ;Sangiovese                ;Castello d'Albola              
27896;89;Toscana                   ;Antinori 2008 Villa Antinori Red (Toscana)                                                        ;24;Tuscany          ;                 ;Red Blend                 ;Antinori                       
27978;91;Amarone della Valpolicella;Monte Zovo 2012  Amarone della Valpolicella                                                       ;55;Veneto           ;                 ;Red Blend                 ;Monte Zovo                     
28014;86;Rosso di Montalcino       ;Uccelliera 2014  Rosso di Montalcino                                                              ;25;Tuscany          ;                 ;Sangiovese                ;Uccelliera                     
28042;86;Rosso di Montalcino       ;Poggio il Castellare 2014  Rosso di Montalcino                                                    ;23;Tuscany          ;                 ;Sangiovese                ;Poggio il Castellare           
28050;90;Vin Santo del Chianti     ;Il Borro 2008 Occhio di Pernice  (Vin Santo del Chianti)                                          ;               ;Tuscany          ;                 ;Sangiovese                ;Il Borro                       
28078;88;Vernaccia di San Gimignano;Signano 2005 Riserva  (Vernaccia di San Gimignano)                                                ;29;Tuscany          ;                 ;Vernaccia                 ;Signano                        
28096;94;Brunello di Montalcino    ;Villa I Cipressi 2010 Zebras  (Brunello di Montalcino)                                            ;85;Tuscany          ;                 ;Sangiovese                ;Villa I Cipressi               
28098;94;Bolgheri Sassicaia        ;Tenuta San Guido 2011 Sassicaia  (Bolgheri Sassicaia)                                             ;227;Tuscany          ;                 ;Red Blend                 ;Tenuta San Guido               
28104;94;Brunello di Montalcino    ;Le Potazzine 2010  Brunello di Montalcino                                                         ;95;Tuscany          ;                 ;Sangiovese                ;Le Potazzine                   
28108;94;Brunello di Montalcino    ;Pian delle Querci 2006 Riserva  (Brunello di Montalcino)                                          ;50;Tuscany          ;                 ;Sangiovese                ;Pian delle Querci              
28112;91;Campania                  ;Feudi di San Gregorio 2006 Campanaro White (Campania)                                             ;48;Southern Italy   ;                 ;White Blend               ;Feudi di San Gregorio          
28122;90;Fiano di Avellino         ;Feudi di San Gregorio 2006 Pietracalda  (Fiano di Avellino)                                       ;33;Southern Italy   ;                 ;Fiano                     ;Feudi di San Gregorio          
28130;90;Taurasi                   ;Salvatore Molettieri 2004 Vigna Cinque Querce  (Taurasi)                                          ;72;Southern Italy   ;                 ;Aglianico                 ;Salvatore Molettieri           
28162;90;Barolo                    ;Cascina Bruciata 2011 Cannubi Muscatel  (Barolo)                                                  ;80;Piedmont         ;                 ;Nebbiolo                  ;Cascina Bruciata               
28174;90;Barolo                    ;Cantina del Nebbiolo 2011  Barolo                                                                 ;30;Piedmont         ;                 ;Nebbiolo                  ;Cantina del Nebbiolo           
28176;90;Barolo                    ;Clavesana 2011 Olo  (Barolo)                                                                      ;               ;Piedmont         ;                 ;Nebbiolo                  ;Clavesana                      
28182;90;Barolo                    ;Luigi Oddero & Figli 2009 Rocche Rivera  (Barolo)                                                 ;102;Piedmont         ;                 ;Nebbiolo                  ;Luigi Oddero & Figli           
28188;92;Amarone della Valpolicella;Castellani Michele & Figli 2004 Cinque Stelle Ca' del Pipa  (Amarone della Valpolicella Classico) ;105;Veneto           ;                 ;Corvina, Rondinella, Molin;Castellani Michele & Figli     
28236;93;Brunello di Montalcino    ;Abbadia Ardenga 2010  Brunello di Montalcino                                                      ;48;Tuscany          ;                 ;Sangiovese                ;Abbadia Ardenga                
28244;93;Brunello di Montalcino    ;La Fortuna 2010  Brunello di Montalcino                                                           ;60;Tuscany          ;                 ;Sangiovese                ;La Fortuna                     
28246;93;Brunello di Montalcino    ;Gianni Brunelli 2010  Brunello di Montalcino                                                      ;67;Tuscany          ;                 ;Sangiovese                ;Gianni Brunelli                
28248;93;Brunello di Montalcino    ;Altesino 2010 Montosoli  (Brunello di Montalcino)                                                 ;125;Tuscany          ;                 ;Sangiovese                ;Altesino                       
28256;87;Trentino                  ;Dorigati 2006 Grener Cabernet (Trentino)                                                          ;               ;Northeastern Ital;                 ;Cabernet                  ;Dorigati                       
28258;87;Alto Adige                ;Abbazia di Novacella 2010 Kerner (Alto Adige)                                                     ;20;Northeastern Ital;                 ;Kerner                    ;Abbazia di Novacella           
28264;87;Vermentino di Sardegna    ;Pala 2011 I Fiori  (Vermentino di Sardegna)                                                       ;15;Sicily & Sardinia;                 ;Vermentino                ;Pala                           
28272;87;Isola dei Nuraghi         ;Pala 2009 Silenzi Red (Isola dei Nuraghi)                                                         ;               ;Sicily & Sardinia;                 ;Red Blend                 ;Pala                           
28274;87;Alto Adige                ;St. Pauls 2009 Gries Lagrein (Alto Adige)                                                         ;16;Northeastern Ital;                 ;Lagrein                   ;St. Pauls                      
28284;86;Valpolicella Classico Supe;Tommasi 2011 Rafael  (Valpolicella Classico Superiore)                                            ;16;Veneto           ;                 ;Red Blend                 ;Tommasi                        
28290;86;Valpolicella Ripasso      ;Cantina di Soave 2011 Cadis  (Valpolicella Ripasso)                                               ;               ;Veneto           ;                 ;Red Blend                 ;Cantina di Soave               
28296;86;Valpolicella Classico Supe;Giuseppe Lonardi 2010  Valpolicella Classico Superiore Ripasso                                    ;21;Veneto           ;                 ;Red Blend                 ;Giuseppe Lonardi               
28338;86;Vigneti delle Dolomiti    ;Mezzacorona 2006 Chardonnay (Vigneti delle Dolomiti)                                              ;8;Northeastern Ital;                 ;Chardonnay                ;Mezzacorona                    
28362;89;Valtellina Superiore      ;Barbàcan 2013 Sol  (Valtellina Superiore)                                                         ;45;Lombardy         ;                 ;Nebbiolo                  ;Barbàcan                       
28376;88;Franciacorta              ;Montenisa NV Rosé Pinot Nero (Franciacorta)                                                       ;               ;Lombardy         ;                 ;Pinot Nero                ;Montenisa                      
28388;88;Gavi                      ;La Raia 2013 Vigna della Madonnina Riserva  (Gavi)                                                ;               ;Piedmont         ;                 ;Cortese                   ;La Raia                        
28398;88;Verdicchio dei Castelli di;Garofoli 2010 Serra Fiorese Riserva  (Verdicchio dei Castelli di Jesi Classico)                   ;30;Central Italy    ;                 ;Verdicchio                ;Garofoli                       
28406;88;Verdicchio di Matelica    ;Belisario 2012 Meridia  (Verdicchio di Matelica)                                                  ;28;Central Italy    ;                 ;Verdicchio                ;Belisario                      
28414;88;Roero                     ;San Silvestro 2015 Parvo  (Roero)                                                                 ;18;Piedmont         ;                 ;Arneis                    ;San Silvestro                  
28420;86;Langhe                    ;Giuseppe Cortese 2008 Nebbiolo (Langhe)                                                           ;20;Piedmont         ;                 ;Nebbiolo                  ;Giuseppe Cortese               
28482;90;Colli Orientali del Friuli;La Viarte 2012 Ribolla Gialla (Colli Orientali del Friuli)                                        ;22;Northeastern Ital;                 ;Ribolla Gialla            ;La Viarte                      
28486;90;Alto Adige Valle Isarco   ;Abbazia di Novacella 2012 Gewürztraminer (Alto Adige Valle Isarco)                                ;24;Northeastern Ital;                 ;Gewürztraminer            ;Abbazia di Novacella           
28494;87;Chianti                   ;Tenuta La Gigliola 2013 San Enrico  (Chianti)                                                     ;15;Tuscany          ;                 ;Red Blend                 ;Tenuta La Gigliola             
28498;87;Chianti Colli Senesi      ;Viticoltori Senesi Aretini 2012 Celliere  (Chianti Colli Senesi)                                  ;10;Tuscany          ;                 ;Red Blend                 ;Viticoltori Senesi Aretini     
28500;87;Chianti                   ;Val di Botte 2013  Chianti                                                                        ;25;Tuscany          ;                 ;Red Blend                 ;Val di Botte                   
28516;87;Chianti                   ;Barone Ricasoli 2013  Chianti                                                                     ;13;Tuscany          ;                 ;Red Blend                 ;Barone Ricasoli                
28520;85;Lambrusco Grasparossa di C;Fattoria Moretto 2013 Amabile  (Lambrusco Grasparossa di Castelvetro)                             ;18;Central Italy    ;                 ;Lambrusco Grasparossa     ;Fattoria Moretto               
28522;85;Langhe                    ;Prinsi 2011 Sandrina Nebbiolo (Langhe)                                                            ;24;Piedmont         ;                 ;Nebbiolo                  ;Prinsi                         
28556;82;Gioia del Colle           ;Terra Jovia 2004 Primitivo (Gioia del Colle)                                                      ;50;Southern Italy   ;                 ;Primitivo                 ;Terra Jovia                    
28578;93;Vin Santo del Chianti     ;Fattoria Petrolo 1999  Vin Santo del Chianti                                                      ;55;Tuscany          ;                 ;White Blend               ;Fattoria Petrolo               
28582;83;Barbaresco                ;Pier 2001 Vila Riserva  (Barbaresco)                                                              ;               ;Piedmont         ;                 ;Nebbiolo                  ;Pier                           
28596;83;Barbera del Monferrato    ;Bricco dei Guazzi 2006  Barbera del Monferrato                                                    ;16;Piedmont         ;                 ;Barbera                   ;Bricco dei Guazzi              
28628;90;Lago di Corbara           ;Castello di Corbara 2005 Cabernet Sauvignon Cabernet Sauvignon (Lago di Corbara)                  ;19;Central Italy    ;                 ;Cabernet Sauvignon        ;Castello di Corbara            
28684;86;Valpolicella              ;Tinazzi 2010 Cà de' Rocchi  (Valpolicella)                                                        ;13;Veneto           ;                 ;Corvina, Rondinella, Molin;Tinazzi                        
28700;87;Lugana                    ;Cà dei Frati 2014 Brolettino  (Lugana)                                                            ;30;Lombardy         ;                 ;Turbiana                  ;Cà dei Frati                   
28722;86;Gavi                      ;Castellari Bergaglio 2014 Rolona del Comune di Gavi  (Gavi)                                       ;26;Piedmont         ;                 ;Cortese                   ;Castellari Bergaglio           
28734;84;Prosecco                  ;Albino Armani NV Extra Dry  (Prosecco)                                                            ;               ;Veneto           ;                 ;Glera                     ;Albino Armani                  
28736;84;Lambrusco di Sorbara      ;Cantina di Sorbara 2012 Villa Badia  (Lambrusco di Sorbara)                                       ;               ;Central Italy    ;                 ;Lambrusco                 ;Cantina di Sorbara             
28738;84;Soave                     ;Dal Cero Tenuta di Corte Giacobbe 2011 Corte Giacobbe  (Soave)                                    ;12;Veneto           ;                 ;Garganega                 ;Dal Cero Tenuta di Corte Giacob
28748;84;Romagna                   ;Stefano Berti 2011 Bartimeo Sangiovese (Romagna)                                                  ;14;Central Italy    ;                 ;Sangiovese                ;Stefano Berti                  
28750;84;Veneto                    ;TerrAmore 2011 Pinot Grigio (Veneto)                                                              ;12;Veneto           ;                 ;Pinot Grigio              ;TerrAmore                      
28752;84;Conegliano Valdobbiadene P;Valdellövo NV Zero Nove Brut  (Conegliano Valdobbiadene Prosecco Superiore)                       ;18;Veneto           ;                 ;Glera                     ;Valdellövo                     
28758;91;Barolo                    ;Alberto Voerzio 2011 La Serra  (Barolo)                                                           ;70;Piedmont         ;                 ;Nebbiolo                  ;Alberto Voerzio                
28776;91;Alto Adige                ;Cantina Santa Maddalena 2012 Taber Riserva Lagrein (Alto Adige)                                   ;48;Northeastern Ital;                 ;Lagrein                   ;Cantina Santa Maddalena        
28790;88;Etna                      ;I Custodi 2013 Alnus Red (Etna)                                                                   ;23;Sicily & Sardinia;                 ;Red Blend                 ;I Custodi                      
28800;88;Sicilia                   ;Tenuta Rapitalà 2012 Alto Nero Nero d'Avola (Sicilia)                                             ;23;Sicily & Sardinia;                 ;Nero d'Avola              ;Tenuta Rapitalà                
28840;86;Montepulciano d'Abruzzo   ;Fosso Corno 2013 Il Grande  (Montepulciano d'Abruzzo)                                             ;14;Central Italy    ;                 ;Montepulciano             ;Fosso Corno                    
28846;86;Sforzato di Valtellina    ;Mamete Prevostini 2012 Albareda  (Sforzato di Valtellina)                                         ;75;Lombardy         ;                 ;Nebbiolo                  ;Mamete Prevostini              
28848;86;Colline Teatine           ;Masciarelli 2015 Rosato (Colline Teatine)                                                         ;10;Central Italy    ;                 ;Rosato                    ;Masciarelli                    
28866;86;Roero                     ;Negro Lorenzo 2010 Metodo Classico  (Roero)                                                       ;30;Piedmont         ;                 ;Arneis                    ;Negro Lorenzo                  
28868;86;Montepulciano d'Abruzzo   ;Casa Catelli 2015 Organic  (Montepulciano d'Abruzzo)                                              ;14;Central Italy    ;                 ;Montepulciano             ;Casa Catelli                   
28878;87;Toscana                   ;Pagani de Marchi 2012 Casa Nocera Merlot (Toscana)                                                ;62;Tuscany          ;                 ;Merlot                    ;Pagani de Marchi               
28880;87;Toscana                   ;Pieve de' Pitti 2011 Moro di Pava Sangiovese (Toscana)                                            ;24;Tuscany          ;                 ;Sangiovese                ;Pieve de' Pitti                
28882;87;Morellino di Scansano     ;Massi di Mandorlaia 2013 Mandorlaia Riserva  (Morellino di Scansano)                              ;34;Tuscany          ;                 ;Red Blend                 ;Massi di Mandorlaia            
28890;86;Brunello di Montalcino    ;Fanti 2010 Vigna Le Macchiarelle Riserva  (Brunello di Montalcino)                                ;               ;Tuscany          ;                 ;Sangiovese                ;Fanti                          
28894;86;Toscana                   ;Poggio Nicchiaia 2015 Fiore del Borgo Vermentino (Toscana)                                        ;               ;Tuscany          ;                 ;Vermentino                ;Poggio Nicchiaia               
28898;86;Toscana                   ;Vignamaggio 2013 Merlot (Toscana)                                                                 ;40;Tuscany          ;                 ;Merlot                    ;Vignamaggio                    
28914;83;Toscana                   ;Poggio alle Sughere 2008 Sangiovese (Toscana)                                                     ;12;Tuscany          ;                 ;Sangiovese                ;Poggio alle Sughere            
28938;90;Etna                      ;Palmento Costanzo 2012 Mofete  (Etna)                                                             ;               ;Sicily & Sardinia;                 ;Red Blend                 ;Palmento Costanzo              
28944;90;Noto                      ;Planeta 2015 Bianco Dry Moscato (Noto)                                                            ;22;Sicily & Sardinia;                 ;Moscato                   ;Planeta                        
28964;86;Soave                     ;Agostino Vicentini 2011 Vigneto Terre Lunghe  (Soave)                                             ;17;Veneto           ;                 ;Garganega                 ;Agostino Vicentini             
28972;86;Venezie                   ;Cantina di Soave 2011 Re Midas Corvina (Venezie)                                                  ;10;Northeastern Ital;                 ;Corvina                   ;Cantina di Soave               
29002;84;Cortona                   ;Capoverso 2013 Syrah (Cortona)                                                                    ;17;Tuscany          ;                 ;Syrah                     ;Capoverso                      
29014;87;Valpolicella Superiore    ;Trabucchi d'Illasi 2006 Terra del Cereolo  (Valpolicella Superiore)                               ;30;Veneto           ;                 ;Corvina, Rondinella, Molin;Trabucchi d'Illasi             
29016;87;Valpolicella Classico Supe;Antolini 2009  Valpolicella Classico Superiore Ripasso                                            ;35;Veneto           ;                 ;Corvina, Rondinella, Molin;Antolini                       
29034;90;Barbaresco                ;Vigin 2009 Noemy  (Barbaresco)                                                                    ;45;Piedmont         ;                 ;Nebbiolo                  ;Vigin                          
29038;90;Barbaresco                ;Negro Angelo e Figli 2007 Basarin Riserva  (Barbaresco)                                           ;               ;Piedmont         ;                 ;Nebbiolo                  ;Negro Angelo e Figli           
29040;90;Barbaresco                ;Pertinace 2009 Vigneto Nervo  (Barbaresco)                                                        ;60;Piedmont         ;                 ;Nebbiolo                  ;Pertinace                      
29042;90;Barbaresco                ;Produttori del Barbaresco 2007 Pora Riserva  (Barbaresco)                                         ;67;Piedmont         ;                 ;Nebbiolo                  ;Produttori del Barbaresco      
29052;90;Barolo                    ;Inalto 2006  Barolo                                                                               ;50;Piedmont         ;                 ;Nebbiolo                  ;Inalto                         
29054;90;Barolo                    ;Giacomo Fenocchio 2008  Barolo                                                                    ;50;Piedmont         ;                 ;Nebbiolo                  ;Giacomo Fenocchio              
29116;89;Barolo                    ;Dosio 2011 Fossati  (Barolo)                                                                      ;50;Piedmont         ;                 ;Nebbiolo                  ;Dosio                          
29124;89;Barolo                    ;Borgogno F.lli Serio e Battista 2009 Cannubi Riserva  (Barolo)                                    ;45;Piedmont         ;                 ;Nebbiolo                  ;Borgogno F.lli Serio e Battista
29126;89;Barolo                    ;Olivero 2011 Bricco Rocca  (Barolo)                                                               ;50;Piedmont         ;                 ;Nebbiolo                  ;Olivero                        
29144;92;Amarone della Valpolicella;Corte Sant' Alda 2008  Amarone della Valpolicella                                                 ;124;Veneto           ;                 ;Corvina, Rondinella, Molin;Corte Sant' Alda               
29160;92;Amarone della Valpolicella;Brunelli 2007 Campo del Tìtari Riserva  (Amarone della Valpolicella Classico)                     ;65;Veneto           ;                 ;Corvina, Rondinella, Molin;Brunelli                       
29162;92;Amarone della Valpolicella;Trabucchi d'Illasi 2004 Riserva Cent'Anni  (Amarone della Valpolicella)                           ;120;Veneto           ;                 ;Corvina, Rondinella, Molin;Trabucchi d'Illasi             
29170;85;Terre del Volturno        ;Vestini Campagnano 2011 Casavecchia (Terre del Volturno)                                          ;45;Southern Italy   ;                 ;Casavecchia               ;Vestini Campagnano             
29184;85;Terre Siciliane           ;Feudi del Pisciotto 2011 Versace Nero d'Avola (Terre Siciliane)                                   ;31;Sicily & Sardinia;                 ;Nero d'Avola              ;Feudi del Pisciotto            
29190;85;Irpinia                   ;Sanpaolo 2012 Jacarando Rosé Extra Brut Aglianico (Irpinia)                                       ;6;Southern Italy   ;                 ;Aglianico                 ;Sanpaolo                       
29250;91;Fiano di Avellino         ;Mastroberardino 2008 Vintage  (Fiano di Avellino)                                                 ;35;Southern Italy   ;                 ;Fiano                     ;Mastroberardino                
